id,auction_date,target_species,avg_price,min_price,max_price,trade_quantity,standard,origin_name,market_name,year,month,day,day_of_week,date,avg_temp,avg_wind,max_temp,min_temp,precipitation,date_ocean,s_temp
671,2021-06-23,(활)참돔,29780.00,2000.00,218000.00,959.20,중,,노량진수산시장,2021,6,23,2,2021-06-23,22.1,2.04,26.04,18.6,,,
566,2021-06-23,(활)넙치,28200.00,500.00,227000.00,7038.00,중,,노량진수산시장,2021,6,23,2,2021-06-23,22.1,2.04,26.04,18.6,,,
961,2021-06-16,(활)우럭,19333.33,6000.00,41000.00,1285.20,중,,노량진수산시장,2021,6,16,2,2021-06-16,20.419999999999998,2.1,22.740000000000002,18.619999999999997,0.45,,
775,2021-06-16,(활)농어,13300.00,4000.00,30000.00,524.00,중,,노량진수산시장,2021,6,16,2,2021-06-16,20.419999999999998,2.1,22.740000000000002,18.619999999999997,0.45,,
670,2021-06-16,(활)참돔,19227.27,2000.00,113000.00,2072.40,중,,노량진수산시장,2021,6,16,2,2021-06-16,20.419999999999998,2.1,22.740000000000002,18.619999999999997,0.45,,
565,2021-06-16,(활)넙치,11981.25,100.00,28000.00,10497.30,중,,노량진수산시장,2021,6,16,2,2021-06-16,20.419999999999998,2.1,22.740000000000002,18.619999999999997,0.45,,
960,2021-06-09,(활)우럭,9740.00,3000.00,23000.00,1970.50,중,,노량진수산시장,2021,6,9,2,2021-06-09,22.34,2.6,25.48,19.52,13.075,,
863,2021-06-09,(활)참숭어,4000.00,1200.00,6500.00,318.80,중,,노량진수산시장,2021,6,9,2,2021-06-09,22.34,2.6,25.48,19.52,13.075,,
774,2021-06-09,(활)농어,12837.50,3000.00,40000.00,414.10,중,,노량진수산시장,2021,6,9,2,2021-06-09,22.34,2.6,25.48,19.52,13.075,,
669,2021-06-09,(활)참돔,9855.56,1500.00,27000.00,1309.70,중,,노량진수산시장,2021,6,9,2,2021-06-09,22.34,2.6,25.48,19.52,13.075,,
564,2021-06-09,(활)넙치,12073.33,200.00,28000.00,9984.10,중,,노량진수산시장,2021,6,9,2,2021-06-09,22.34,2.6,25.48,19.52,13.075,,
959,2021-06-02,(활)우럭,12900.00,1000.00,26000.00,1678.70,중,,노량진수산시장,2021,6,2,2,2021-06-02,19.5,2.2399999999999998,22.04,16.880000000000003,15.5,,
862,2021-06-02,(활)참숭어,4400.00,2500.00,9000.00,217.20,중,,노량진수산시장,2021,6,2,2,2021-06-02,19.5,2.2399999999999998,22.04,16.880000000000003,15.5,,
773,2021-06-02,(활)농어,11700.00,1000.00,30000.00,759.60,중,,노량진수산시장,2021,6,2,2,2021-06-02,19.5,2.2399999999999998,22.04,16.880000000000003,15.5,,
668,2021-06-02,(활)참돔,8737.50,500.00,24000.00,2032.70,중,,노량진수산시장,2021,6,2,2,2021-06-02,19.5,2.2399999999999998,22.04,16.880000000000003,15.5,,
563,2021-06-02,(활)넙치,9500.00,200.00,28000.00,12730.50,중,,노량진수산시장,2021,6,2,2,2021-06-02,19.5,2.2399999999999998,22.04,16.880000000000003,15.5,,
958,2021-05-26,(활)우럭,10614.29,2000.00,22000.00,1789.50,중,,노량진수산시장,2021,5,26,2,2021-05-26,17.34,3.0,21.2,14.3,2.85,,
861,2021-05-26,(활)참숭어,3675.00,800.00,8000.00,1244.10,중,,노량진수산시장,2021,5,26,2,2021-05-26,17.34,3.0,21.2,14.3,2.85,,
772,2021-05-26,(활)농어,15500.00,1000.00,52000.00,364.30,중,,노량진수산시장,2021,5,26,2,2021-05-26,17.34,3.0,21.2,14.3,2.85,,
